ID,Name,Position,ADP,Team
1229343,Rachaad White,RB,132.21469,WAS
448240,Travis Kelce,TE,133.35976,KC
1441576,KC Concepcion,WR,133.98373,FA
1213726,Jalen McMillan,WR,134.94873,TB
1215077,Josh Downs,WR,135.15387,IND
1214084,C.J. Stroud,QB,136.93657,HOU
1289428,Mike Washington Jr.,RB,138.6266,FA
1380594,Jonah Coleman,RB,138.95634,FA
1164940,Brenton Strange,TE,140.82544,JAX
694041,Stefon Diggs,WR,140.8581,FA
1213257,Bryce Young,QB,143.05214,CAR
879981,Daniel Jones,QB,143.86676,IND
1400786,Fernando Mendoza,QB,144.06744,FA
1125111,Isaiah Likely,TE,144.09737,NYG
884609,Juwan Johnson,TE,145.9016,NO
1231652,Woody Marks,RB,146.99338,HOU
1379904,Denzel Boston,WR,148.25456,FA
741314,Aaron Jones Sr.,RB,149.02873,MIN
823156,Tyreek Hill,WR,149.12238,FA
1228691,Cam Ward,QB,149.26582,TEN
1109708,Tyrone Tracy Jr.,RB,149.69865,NYG
820699,Mark Andrews,TE,150.57443,BAL
1399275,Travis Hunter,WR,152.40163,JAX
607047,Jacoby Brissett,QB,153.24182,ARI
742390,James Conner,RB,154.85278,ARI
923412,Rashid Shaheed,WR,155.01118,SEA
835749,Deebo Samuel Sr.,WR,155.97865,FA
1107034,Brandon Aiyuk,WR,156.42316,SF
1326601,Jonathon Brooks,RB,156.7163,CAR
744425,Hunter Henry,TE,157.64287,NE
1113403,Chris Rodriguez Jr.,RB,160.82396,JAX
1394825,Omar Cooper Jr.,WR,161.82149,FA
1213362,Kayshon Boutte,WR,163.67097,NE
1305866,Pat Bryant,WR,167.28816,DEN
1169430,Tyjae Spears,RB,167.93864,TEN
1286176,Troy Franklin,WR,169.14558,DEN
973935,Jerry Jeudy,WR,169.49757,CLE
1222789,Keaton Mitchell,RB,169.58435,LAC
1229503,AJ Barner,TE,170.04993,SEA
1379251,Emmett Johnson,RB,170.7827,FA
830523,Dalton Schultz,TE,172.15897,HOU
1106832,Isiah Pacheco,RB,172.34506,DET
923915,T.J. Hockenson,TE,174.4106,MIN
1128222,Tank Dell,WR,175.16351,HOU
1106374,Chig Okonkwo,TE,175.90605,WAS
750846,Alvin Kamara,RB,177.38304,NO
513856,Geno Smith,QB,177.48534,NYJ
1441362,Isaac TeSlaa,WR,177.78583,DET
1248031,Trey Benson,RB,178.55443,ARI
1447759,Emanuel Wilson,RB,181.40625,SEA
1399910,Dylan Sampson,RB,182.16911,CLE
1215102,Chimere Dike,WR,182.43889,TEN
1285908,Adonai Mitchell,WR,183.02419,NYJ
884013,Calvin Ridley,WR,184.15334,TEN
1214824,Kimani Vidal,RB,185.24881,LAC
832098,David Njoku,TE,185.45894,FA
1286065,Eli Stowers,TE,186.33066,FA
1126817,Jalen Nailor,WR,186.43925,LV
1214633,Tre' Harris,WR,187.85506,LAC
1060312,Colby Parkinson,TE,192.01279,LAR
1164979,Tre Tucker,WR,192.28754,LV
1325231,Braelon Allen,RB,193.71053,NYJ
973947,Tua Tagovailoa,QB,194.61089,ATL
1107478,Michael Penix Jr.,QB,194.93196,ATL
1381263,Mason Taylor,TE,197.06438,NYJ
1215035,Tank Bigsby,RB,197.18202,PHI
1049263,Cade Otton,TE,198.43019,TB
1223393,Tory Horton,WR,200.76945,SEA
1228633,Sean Tucker,RB,201.44496,TB
1392584,Elijah Sarratt,WR,201.71361,FA
973966,Brian Robinson Jr.,RB,202.91635,FA
1272321,Shedeur Sanders,QB,203.38943,CLE
1286438,Gunnar Helm,TE,203.82088,TEN
1379259,Kaytron Allen,RB,204.19417,FA
1379264,Nicholas Singleton,RB,206.20624,FA
1214414,Theo Johnson,TE,206.64925,NYG
1393832,Ryan Flournoy,WR,206.65686,DAL
213957,Aaron Rodgers,QB,208.16603,FA
1213799,Marvin Mims Jr.,WR,210.1118,DEN
912027,Darnell Mooney,WR,210.37628,NYG
1286179,Terrance Ferguson,TE,211.40327,LAR
1395319,Elic Ayomanor,WR,211.42711,TEN
1068872,Jake Tonges,TE,212.062,SF
1165229,Ray Davis,RB,212.17729,BUF
1400788,Chris Brazzell II,WR,214.30704,FA
698227,Cooper Kupp,WR,214.63329,SEA
702808,Mack Hollins,WR,215.44852,NE
1116662,Pat Freiermuth,TE,215.76704,PIT
1180625,George Holani,RB,216.1509,SEA
1164788,Devaughn Vele,WR,217.20929,NO
1441110,Zachariah Branch,WR,218.17157,FA
1287599,J.J. McCarthy,QB,218.21585,MIN
1110681,Justin Fields,QB,218.3595,KC
976220,Hollywood Brown,WR,218.81819,FA
820727,Joe Mixon,RB,219.50389,FA
865801,Christian Kirk,WR,219.5292,SF
1173255,Malik Washington,WR,220.39124,MIA
1380613,Germie Bernard,WR,220.50917,FA
1378917,Ty Simpson,QB,221.01053,FA
1293066,Devin Neal,RB,221.44643,NO
